Seed,Preservation,Deletion,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,False,True,1,Zeros,0.2,extremal_mask,1.0,1.0,0.9748,-0.05031,0.1922,-0.1043,0.1985
42,False,True,1,Zeros,0.3,extremal_mask,1.0,1.0,0.9748,-0.05017,0.1933,-0.1055,0.1928
42,False,True,1,Zeros,0.4,extremal_mask,1.0,1.0,0.9748,-0.05,0.1926,-0.1048,0.1864
42,False,True,1,Zeros,0.5,extremal_mask,1.0,1.0,0.9748,-0.0498,0.1877,-0.09989,0.1782
42,False,True,1,Zeros,0.6,extremal_mask,1.0,1.0,0.9748,-0.04949,0.1789,-0.09111,0.1686
42,False,True,0,Average,0.1,extremal_mask,1.0,1.0,0.9822,-0.01088,0.09023,0.007504,0.01466
42,False,True,0,Average,0.2,extremal_mask,1.0,1.0,0.9819,-0.01051,0.09092,0.006821,0.01438
42,False,True,0,Average,0.3,extremal_mask,1.0,1.0,0.9817,-0.01009,0.09159,0.006142,0.01407
42,False,True,0,Average,0.4,extremal_mask,1.0,1.0,0.9824,-0.009537,0.09254,0.005196,0.01347
42,False,True,0,Average,0.5,extremal_mask,1.0,1.0,0.9826,-0.008921,0.09348,0.004258,0.01283
42,False,True,0,Average,0.6,extremal_mask,1.0,1.0,0.9824,-0.008616,0.09399,0.003743,0.01225
42,False,True,0,Zeros,0.1,extremal_mask,1.0,1.0,0.9667,-0.03674,0.1759,-0.07815,0.06401
42,False,True,0,Zeros,0.2,extremal_mask,1.0,1.0,0.9667,-0.03765,0.1855,-0.08776,0.07053
42,False,True,0,Zeros,0.3,extremal_mask,1.0,1.0,0.9667,-0.03816,0.1893,-0.09155,0.07453
42,False,True,0,Zeros,0.4,extremal_mask,1.0,1.0,0.9667,-0.03852,0.1906,-0.09287,0.07644
42,False,True,0,Zeros,0.5,extremal_mask,1.0,1.0,0.9667,-0.03877,0.1906,-0.09288,0.07675
42,False,True,0,Zeros,0.6,extremal_mask,1.0,1.0,0.9667,-0.03938,0.1893,-0.09157,0.07989
42,False,True,2,Average,0.1,extremal_mask,1.0,1.0,0.9854,-0.0175,0.07346,0.01434,0.0246
42,False,True,2,Average,0.2,extremal_mask,1.0,1.0,0.9859,-0.01731,0.07411,0.01369,0.02442
42,False,True,2,Average,0.3,extremal_mask,1.0,1.0,0.9856,-0.01655,0.07517,0.01263,0.02339
42,False,True,2,Average,0.4,extremal_mask,1.0,1.0,0.9854,-0.01554,0.07625,0.01155,0.02224
42,False,True,2,Average,0.5,extremal_mask,1.0,1.0,0.9854,-0.0146,0.07725,0.01056,0.02096
42,False,True,2,Average,0.6,extremal_mask,1.0,1.0,0.9852,-0.01415,0.07763,0.01018,0.0199
42,False,True,2,Zeros,0.1,extremal_mask,1.0,1.0,0.973,-0.04788,0.1911,-0.1033,0.1688
42,False,True,2,Zeros,0.2,extremal_mask,1.0,1.0,0.973,-0.048,0.1979,-0.1101,0.1713
42,False,True,2,Zeros,0.3,extremal_mask,1.0,1.0,0.973,-0.04784,0.1989,-0.1111,0.1678
42,False,True,2,Zeros,0.4,extremal_mask,1.0,1.0,0.973,-0.04766,0.1964,-0.1086,0.1634
42,False,True,2,Zeros,0.5,extremal_mask,1.0,1.0,0.973,-0.04745,0.1927,-0.1049,0.1586
42,False,True,2,Zeros,0.6,extremal_mask,1.0,1.0,0.973,-0.04734,0.1879,-0.1,0.1555
42,False,True,4,Average,0.1,extremal_mask,1.0,1.0,0.9843,-0.01355,0.09144,0.01076,0.02357
42,False,True,4,Average,0.2,extremal_mask,1.0,1.0,0.983,-0.01265,0.09287,0.00933,0.02257
42,False,True,4,Average,0.3,extremal_mask,1.0,1.0,0.9828,-0.01153,0.09434,0.007863,0.02126
42,False,True,4,Average,0.4,extremal_mask,1.0,1.0,0.9828,-0.01064,0.09536,0.006839,0.02025
42,False,True,4,Average,0.5,extremal_mask,1.0,1.0,0.9828,-0.009836,0.09642,0.005782,0.01909
42,False,True,4,Average,0.6,extremal_mask,1.0,1.0,0.9817,-0.009079,0.09725,0.004952,0.0179
42,False,True,4,Zeros,0.1,extremal_mask,1.0,1.0,0.9632,-0.04228,0.2053,-0.1031,0.1122
42,False,True,4,Zeros,0.2,extremal_mask,1.0,1.0,0.9632,-0.04323,0.2201,-0.1179,0.1172
42,False,True,4,Zeros,0.3,extremal_mask,1.0,1.0,0.963,-0.0436,0.2295,-0.1273,0.1176
42,False,True,4,Zeros,0.4,extremal_mask,1.0,1.0,0.963,-0.04394,0.2344,-0.1322,0.1171
42,False,True,4,Zeros,0.5,extremal_mask,1.0,1.0,0.963,-0.04417,0.2328,-0.1306,0.1148
42,False,True,4,Zeros,0.6,extremal_mask,1.0,1.0,0.963,-0.04422,0.2265,-0.1243,0.1135
42,False,True,3,Average,0.1,extremal_mask,1.0,1.0,0.9876,-0.0168,0.07419,0.01356,0.02526
42,False,True,3,Average,0.2,extremal_mask,1.0,1.0,0.9876,-0.01628,0.07503,0.01272,0.02471
42,False,True,3,Average,0.3,extremal_mask,1.0,1.0,0.9885,-0.01523,0.076,0.01175,0.02367
42,False,True,3,Average,0.4,extremal_mask,1.0,1.0,0.9885,-0.0142,0.07706,0.01069,0.02271
42,False,True,3,Average,0.5,extremal_mask,1.0,1.0,0.9878,-0.01325,0.07814,0.009608,0.02152
42,False,True,3,Average,0.6,extremal_mask,1.0,1.0,0.988,-0.01245,0.07901,0.008739,0.02019
42,False,True,3,Zeros,0.1,extremal_mask,1.0,1.0,0.9732,-0.04721,0.1664,-0.07868,0.1555
42,False,True,3,Zeros,0.2,extremal_mask,1.0,1.0,0.9732,-0.0473,0.1725,-0.08474,0.161
42,False,True,3,Zeros,0.3,extremal_mask,1.0,1.0,0.9732,-0.04707,0.1731,-0.08531,0.1611
42,False,True,3,Zeros,0.4,extremal_mask,1.0,1.0,0.9732,-0.04681,0.1721,-0.08437,0.1604
42,False,True,3,Zeros,0.5,extremal_mask,1.0,1.0,0.9732,-0.04653,0.17,-0.08225,0.1571
42,False,True,3,Zeros,0.6,extremal_mask,1.0,1.0,0.9732,-0.04641,0.1669,-0.07919,0.1548
