Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,1,Average,0.5,integrated_gradients,1.0,1.0,0.9872,-0.0006485,0.09365,-0.002611,0.001954
42,1,Average,0.5,gradient_shap,1.0,1.0,0.9863,-0.0001873,0.09627,-0.003616,0.0038
42,1,Average,0.5,lime,1.0,1.0,0.9841,0.00169,0.09745,-0.00641,0.0021
42,1,Average,0.5,augmented_occlusion,1.0,1.0,0.9856,0.0006148,0.09515,-0.004105,0.0009692
42,1,Average,0.5,occlusion,1.0,1.0,0.9867,-0.001753,0.09215,-0.001106,0.003168
42,1,Average,0.5,retain,1.0,1.0,0.987,-0.004074,0.08975,0.001292,0.005855
42,1,Average,0.6,deep_lift,1.0,1.0,0.9854,-0.000274,0.09432,-0.003274,0.001711
42,1,Average,0.6,dyna_mask,1.0,1.0,0.9874,-0.0001293,0.09372,-0.002673,0.001381
42,1,Average,0.6,extremal_mask,1.0,1.0,0.9839,0.00787,0.1055,-0.0142,-0.007539
42,1,Average,0.6,integrated_gradients,1.0,1.0,0.9861,8.945e-05,0.09503,-0.003984,0.001561
42,1,Average,0.6,gradient_shap,1.0,1.0,0.9856,0.0006869,0.0977,-0.005041,0.002884
42,1,Average,0.6,lime,1.0,1.0,0.983,0.002215,0.09859,-0.007549,0.001993
42,1,Average,0.6,augmented_occlusion,1.0,1.0,0.9848,0.001086,0.09608,-0.00504,0.0007877
42,1,Average,0.6,occlusion,1.0,1.0,0.985,-0.0008413,0.09363,-0.002586,0.002297
42,1,Average,0.6,retain,1.0,1.0,0.9867,-0.002761,0.09169,-0.0006506,0.004587
42,1,Zeros,0.1,deep_lift,1.0,1.0,0.98,-0.00453,0.09873,-0.007686,-0.01056
42,1,Zeros,0.1,dyna_mask,1.0,1.0,0.9848,-0.001726,0.09255,-0.001503,-0.009436
42,1,Zeros,0.1,extremal_mask,1.0,1.0,0.9426,0.08249,0.2535,-0.1622,-0.06267
42,1,Zeros,0.1,integrated_gradients,1.0,1.0,0.9809,-0.00408,0.09784,-0.006794,-0.01118
42,1,Zeros,0.1,gradient_shap,1.0,1.0,0.9726,-0.002927,0.1063,-0.01362,-0.006196
42,1,Zeros,0.1,lime,1.0,1.0,0.9915,0.0004712,0.09248,-0.001436,-0.01734
42,1,Zeros,0.1,augmented_occlusion,1.0,1.0,0.9793,-8.597e-05,0.1065,-0.01544,-0.01164
42,1,Zeros,0.1,occlusion,1.0,1.0,0.9776,-0.001602,0.1083,-0.01725,-0.0108
42,1,Zeros,0.1,retain,1.0,1.0,0.9776,-0.004055,0.1022,-0.01116,-0.009957
42,1,Zeros,0.2,deep_lift,1.0,1.0,0.9761,-0.005295,0.1069,-0.01587,-0.0146
42,1,Zeros,0.2,dyna_mask,1.0,1.0,0.9787,-0.006132,0.09403,-0.002988,0.001058
