Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,4,Zeros,0.1,extremal_mask,0.01,10.0,0.8465,0.2677,0.4931,-0.3935,-0.06443
42,4,Zeros,0.2,extremal_mask,0.01,10.0,0.8532,0.273,0.5493,-0.4498,-0.07642
42,4,Zeros,0.3,extremal_mask,0.01,10.0,0.8708,0.2697,0.5737,-0.4742,-0.08239
42,4,Zeros,0.4,extremal_mask,0.01,10.0,0.893,0.2658,0.5834,-0.4839,-0.08403
42,4,Zeros,0.5,extremal_mask,0.01,10.0,0.9104,0.26,0.5797,-0.4802,-0.08402
42,4,Zeros,0.6,extremal_mask,0.01,10.0,0.9261,0.2378,0.5443,-0.4447,-0.08329
42,0,Average,0.1,extremal_mask,0.01,100.0,0.9791,0.03601,0.1495,-0.04729,-0.02662
42,0,Average,0.2,extremal_mask,0.01,100.0,0.9735,0.03893,0.1558,-0.05352,-0.029
42,0,Average,0.3,extremal_mask,0.01,100.0,0.9702,0.03934,0.1585,-0.0563,-0.02964
42,0,Average,0.4,extremal_mask,0.01,100.0,0.9696,0.03854,0.1585,-0.05631,-0.02943
42,0,Average,0.5,extremal_mask,0.01,100.0,0.9691,0.03739,0.1575,-0.05522,-0.02884
42,0,Average,0.6,extremal_mask,0.01,100.0,0.9702,0.03486,0.154,-0.05173,-0.02714
42,0,Zeros,0.1,extremal_mask,0.01,100.0,0.8636,0.2522,0.4692,-0.367,-0.0676
42,0,Zeros,0.2,extremal_mask,0.01,100.0,0.8662,0.2636,0.5253,-0.4231,-0.08025
42,0,Zeros,0.3,extremal_mask,0.01,100.0,0.8776,0.2637,0.5493,-0.447,-0.08526
42,0,Zeros,0.4,extremal_mask,0.01,100.0,0.8884,0.263,0.5559,-0.4537,-0.08648
42,0,Zeros,0.5,extremal_mask,0.01,100.0,0.9032,0.2603,0.5525,-0.4503,-0.08637
42,0,Zeros,0.6,extremal_mask,0.01,100.0,0.9163,0.2433,0.5248,-0.4225,-0.08557
42,1,Average,0.1,extremal_mask,0.01,100.0,0.9826,0.03345,0.1359,-0.04263,-0.02275
42,1,Average,0.2,extremal_mask,0.01,100.0,0.9796,0.03593,0.1411,-0.04775,-0.02487
