Seed,Noise,Activations,Explainer,Purity,Std_0,Std_1
48,0.05,relu,enhanced_integrated_gradients_10,1.0,0.2795,0.000322
48,0.05,relu,enhanced_integrated_gradients_15,1.0,0.7694,0.0003536
48,0.05,relu,gradient_shap,0.9984,10.84,4.898
48,0.05,relu,integrated_gradients,1.0,9.659,4.358
48,0.05,relu,smooth_grad,1.0,8.648,4.391
48,0.1,relu,acc,0.998
48,0.1,relu,geodesic_integrated_gradients_5,1.0,0.08904,0.2175
48,0.1,relu,geodesic_integrated_gradients_10,1.0,0.08905,0.213
48,0.1,relu,geodesic_integrated_gradients_15,1.0,0.08905,0.2111
48,0.1,relu,enhanced_integrated_gradients_5,1.0,0.3301,0.2175
48,0.1,relu,enhanced_integrated_gradients_10,1.0,0.8019,0.219
48,0.1,relu,enhanced_integrated_gradients_15,1.0,0.431,0.2229
48,0.1,relu,gradient_shap,0.9984,15.82,3.664
48,0.1,relu,integrated_gradients,0.9992,15.1,3.511
48,0.1,relu,smooth_grad,0.9984,14.54,3.375
48,0.15,relu,acc,0.9864
48,0.15,relu,geodesic_integrated_gradients_5,1.0,0.2608,0.3884
48,0.15,relu,geodesic_integrated_gradients_10,1.0,0.2547,0.383
48,0.15,relu,geodesic_integrated_gradients_15,1.0,0.2376,0.383
48,0.15,relu,enhanced_integrated_gradients_5,0.988,0.2892,1.227
48,0.15,relu,enhanced_integrated_gradients_10,0.988,0.2587,1.252
48,0.15,relu,enhanced_integrated_gradients_15,0.996,0.2859,0.6166
48,0.15,relu,gradient_shap,0.9424,5.94,2.739
48,0.15,relu,integrated_gradients,0.9824,5.804,2.402
48,0.15,relu,smooth_grad,0.9808,5.388,2.366
48,0.2,relu,acc,0.9612
48,0.2,relu,geodesic_integrated_gradients_5,0.0424,0.4344,0.2227
48,0.2,relu,geodesic_integrated_gradients_10,0.04,0.4306,0.1949
48,0.2,relu,geodesic_integrated_gradients_15,0.04,0.4303,0.2037
48,0.2,relu,enhanced_integrated_gradients_5,0.0816,2.264,0.5178
48,0.2,relu,enhanced_integrated_gradients_10,0.296,2.958,1.295
48,0.2,relu,enhanced_integrated_gradients_15,0.3752,3.512,0.9436
48,0.2,relu,gradient_shap,0.3792,4.557,2.631
48,0.2,relu,integrated_gradients,0.2592,4.403,1.311
48,0.2,relu,smooth_grad,0.272,4.047,1.321
48,0.25,relu,acc,0.9324
48,0.25,relu,geodesic_integrated_gradients_5,0.9784,0.4307,0.4266
48,0.25,relu,geodesic_integrated_gradients_10,0.9768,0.4381,0.4296
48,0.25,relu,geodesic_integrated_gradients_15,0.9768,0.4148,0.4287
48,0.25,relu,enhanced_integrated_gradients_5,0.9496,0.7675,0.8299
48,0.25,relu,enhanced_integrated_gradients_10,0.9448,2.298,0.9597
